Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	LossQ	LossPi	Qval	Time	remian_mins
1	-1499.2612	0.0	-1499.2612	-1499.2612	200.0	200	-1504.3405	143.00401	-1351.4375	-1695.425	200.0	9.63523	6.583034	-7.24276	2.4093868732452393	1003.871040737629
2	-1607.3285	0.0	-1607.3285	-1607.3285	200.0	400	-1771.8027	60.565674	-1700.2155	-1848.3241	200.0	1.3823513	13.024463	-13.595911	4.496179819107056	936.6291926503181
3	-1490.9583	0.0	-1490.9583	-1490.9583	200.0	600	-1703.4003	33.57052	-1658.8848	-1739.9496	200.0	0.31369853	19.126585	-19.64704	6.578479528427124	913.5680709560712
4	-972.8336	0.0	-972.8336	-972.8336	200.0	800	-1533.6901	36.392982	-1482.5469	-1564.2561	200.0	0.31870073	24.260239	-24.933033	8.873639345169067	924.1895377993584
5	-1351.2299	0.0	-1351.2299	-1351.2299	200.0	1000	-1483.0529	61.45464	-1404.2827	-1554.2413	200.0	0.17070436	29.610622	-30.414875	11.205602407455444	933.6134405811628
6	-1436.4963	0.0	-1436.4963	-1436.4963	200.0	1200	-1361.3798	80.96005	-1301.9282	-1475.846	200.0	0.10055801	35.09996	-35.816998	13.79979681968689	958.0892269757059
7	-1514.4078	0.0	-1514.4078	-1514.4078	200.0	1400	-1473.796	18.35746	-1448.4305	-1491.2683	200.0	0.078992136	40.980103	-41.639458	16.10229229927063	958.2014081801686
8	-1503.449	0.0	-1503.449	-1503.449	200.0	1600	-1101.6041	96.33061	-981.93225	-1217.817	200.0	0.079336196	46.9304	-47.562138	18.35406470298767	955.6349688688914
9	-1502.9452	0.0	-1502.9452	-1502.9452	200.0	1800	-1093.7577	26.39226	-1064.5383	-1128.4795	200.0	0.08724993	53.022343	-53.66005	20.66061782836914	956.1657410162467
10	-814.5888	0.0	-814.5888	-814.5888	200.0	2000	-502.79514	67.3487	-407.63947	-553.95374	200.0	0.12168066	56.550182	-57.25884	23.20641851425171	966.5473311185837
