Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	LossQ	LossPi	Qval	Time	remian_mins
1	-1983.107	0.0	-1983.107	-1983.107	999.0	1000	0.11328613	4.881754	-4.943515	41.50624752044678	3458.162189245224
2	-1992.8215	0.0	-1992.8215	-1992.8215	999.0	2000	7.8648016e-05	13.270972	-13.265131	82.70914101600647	3444.8357233166694
3	-1988.264	0.0	-1988.264	-1988.264	999.0	3000	0.0001106558	22.01564	-22.01224	124.82065463066101	3465.160062163406
4	-1989.47	0.0	-1989.47	-1989.47	999.0	4000	0.00016455643	30.453423	-30.446348	165.94509983062744	3454.423828140895
5	-1984.0605	0.0	-1984.0605	-1984.0605	999.0	5000	0.00023577888	38.53724	-38.534706	207.3185269832611	3451.8534742712973
6	-1994.9664	0.0	-1994.9664	-1994.9664	999.0	6000	0.00021598653	46.23284	-46.232327	248.62924551963806	3449.040144791868
7	-1996.3188	0.0	-1996.3188	-1996.3188	999.0	7000	0.0002592271	53.601704	-53.598145	289.7510733604431	3444.588355449268
8	-1996.9983	0.0	-1996.9983	-1996.9983	999.0	8000	0.00028341365	60.658333	-60.653522	330.91718101501465	3441.5386825561523
9	-1997.4056	0.0	-1997.4056	-1997.4056	999.0	9000	0.00030228146	67.38845	-67.38377	372.03317523002625	3438.5510695797425
10	-1997.3447	0.0	-1997.3447	-1997.3447	999.0	10000	0.0003362548	73.80373	-73.80368	413.21788239479065	3436.5953885833424
11	-1991.5876	0.0	-1991.5876	-1991.5876	999.0	11000	0.00036867443	79.87524	-79.87924	454.34236121177673	3434.4152122508394
12	-1995.0632	0.0	-1995.0632	-1995.0632	999.0	12000	0.00036958413	85.650024	-85.65484	495.5266671180725	3432.898632756869
13	-1984.9806	0.0	-1984.9806	-1984.9806	999.0	13000	0.00038576924	91.133224	-91.13914	536.6338973045349	3431.016981868866
14	-1978.0602	0.0	-1978.0602	-1978.0602	999.0	14000	0.0004392851	96.33377	-96.34137	577.8256635665894	3429.808045884541
15	-1989.3204	0.0	-1989.3204	-1989.3204	999.0	15000	0.00046276927	101.29368	-101.30146	618.9224882125854	3428.142893044154
16	-1984.0165	0.0	-1984.0165	-1984.0165	999.0	16000	0.0005038867	106.007576	-106.01527	660.1977264881134	3427.5265300174556
17	-1984.6548	0.0	-1984.6548	-1984.6548	999.0	17000	0.0005209629	110.49183	-110.50009	701.3707740306854	3426.402516661672
18	-1985.5204	0.0	-1985.5204	-1985.5204	999.0	18000	0.00056361844	114.75945	-114.7677	742.9754500389099	3427.3182334202306
19	-1984.4407	0.0	-1984.4407	-1984.4407	999.0	19000	0.00055952236	118.81852	-118.82647	784.3002359867096	3426.8416451314038
