Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	LossQ1	LossQ2	LossPi	LossAlpha	Alpha	Time	remian_mins
1	486.99246	387.76654	1373.9194	126.67703	1315.7142	10000	509.02063	3.464511	513.4697	505.0189	996.0	4.6618395	4.602163	-6.657133	-4.6253633	0.34205362	148.71050596237183	1236.775699989001
2	384.96194	257.26953	931.6505	0.2994336	717.2	20000	251.81935	49.272617	316.86774	197.65685	575.3333	0.26737761	0.26408762	-25.023907	-26.762375	0.016757073	311.03862619400024	1290.8102937579156
3	697.6504	828.2524	2218.297	9.327873	1101.875	30000	6232.648	3868.6013	8977.921	761.63104	7035.0	0.3484459	0.33025128	-39.11585	-3.689405	0.0016703708	522.3212285041809	1442.1869449588987
4	3165.3606	4101.6743	8965.972	248.17116	3737.0	40000	1061.6252	1479.9543	3154.5264	0.29895705	1457.0	0.35726875	0.33443627	-54.754326	-0.30574304	0.0011391712	700.7937951087952	1448.3071740945181
5	753.7509	906.4601	2422.4385	7.3329787	1168.6	50000	183.97662	91.64179	255.33221	54.604576	468.66666	0.41661406	0.369879	-59.302486	0.14366247	0.0013000965	808.3257477283478	1333.7374813914298
6	976.0975	1665.0278	5348.52	11.926815	1641.875	60000	691.27606	782.33124	1788.2511	18.099318	1227.6666	0.35230654	0.3110951	-64.5218	0.056533515	0.0013547179	1003.8157649040222	1377.458298309644
7	458.11298	361.6928	1033.8015	8.9792595	956.9	70000	365.42996	364.1507	866.4401	11.724963	677.6667	0.45146593	0.41653857	-64.47515	0.006238665	0.0018267522	1154.4123120307922	1355.0601651452837
8	951.93085	362.88382	1455.8993	303.8733	1587.2858	80000	773.08936	882.9124	2017.4478	61.575718	1018.3333	0.5062542	0.47803244	-65.05179	0.027377069	0.0018335581	1326.4502594470978	1359.611514955759
9	683.7562	459.58423	1556.4797	263.37296	1255.375	90000	1048.8303	879.0274	2267.9932	228.85574	1479.3334	0.47282413	0.43711334	-65.44426	0.07187839	0.0020514678	1493.665785074234	1358.1294442335764
10	843.1904	757.7612	2310.1592	113.04149	1356.4286	100000	301.61417	241.1907	642.4687	120.09245	665.0	0.43915302	0.40362382	-65.379875	-0.014450316	0.002391317	1645.107298374176	1343.5042926987012
11	7707.892	0.0	7707.892	7707.892	10000.0	110000	311.3175	318.27975	748.6201	0.31999874	668.6667	0.43080693	0.3978676	-66.78088	0.009330568	0.0020174826	1800.6152391433716	1334.0921990275383
12	535.19794	379.59805	1236.8574	9.035654	993.8889	120000	536.6277	318.1182	854.9097	102.13018	1088.3334	0.55030936	0.52167034	-66.84115	-0.0069740172	0.00207304	1952.6517627239227	1323.463971704907
13	1209.0559	1088.0736	2852.802	77.81568	2002.2	130000	45.16676	41.439304	100.25791	0.31374863	155.33333	0.6320126	0.598208	-66.38371	0.05766966	0.0020631328	2103.0736067295074	1313.0728792059117
14	905.20624	451.68143	1521.1714	375.65277	1495.25	140000	4556.222	3183.673	8234.009	468.0895	5749.3335	0.5986628	0.5725711	-66.34863	-0.06501159	0.0023570387	2271.2448818683624	1314.0773953863552
15	1047.9636	2426.759	8312.501	7.613783	1459.9	150000	885.96625	264.00864	1101.8567	514.2137	1423.3334	0.5987639	0.5427107	-67.42734	-0.007172312	0.0021915706	2489.531632423401	1341.5809346079827
16	630.9864	524.94037	1418.1538	16.165997	1102.4	160000	992.6389	1379.7324	2943.8743	15.352733	1516.0	0.70909095	0.6414649	-66.75627	0.015876196	0.0022033562	2601.177344083786	1311.4269103745619
17	1185.1177	1646.0806	5585.772	22.263802	1722.3334	170000	4152.063	2994.2017	7094.0435	43.56838	5989.0	0.7536467	0.6958939	-67.2183	0.00579156	0.0021665618	2879.4997980594635	1363.527844987196
18	383.16876	625.78546	1627.4434	20.458807	623.6	180000	2248.511	2913.0278	6367.975	155.47847	3619.6667	0.8336311	0.76650494	-67.229546	0.037212953	0.0023893998	2985.9950997829437	1332.6385532599909
19	1499.2051	2000.3396	6223.96	69.45166	2397.2856	190000	51.05499	56.04343	129.15582	0.32152852	200.66667	0.6717139	0.60403395	-67.43538	-0.018301686	0.0023486093	3219.273010492325	1358.3072959287124
20	8157.3525	0.0	8157.3525	8157.3525	10000.0	200000	398.86923	127.37892	576.30914	283.23474	977.0	0.5438667	0.4939891	-67.89999	-0.07197112	0.0019037607	3380.2362825870514	1352.0945126533509
21	3009.5237	0.0	3009.5237	3009.5237	3923.0	210000	351.62302	125.4433	452.91702	174.8464	843.0	0.49763745	0.45875454	-67.83197	0.015639374	0.0018115949	3470.604206800461	1319.3804877782625
22	2417.9614	3313.1152	8855.01	14.163805	2944.0	220000	993.1296	851.6276	2099.7522	28.182299	1524.6666	0.51733994	0.50266665	-68.14437	-0.016340278	0.0016008761	3690.6073820590973	1336.4472182230518
23	2877.2678	3462.879	7752.815	40.647827	3892.6667	230000	2571.8115	1960.6438	5299.8296	778.1233	3616.0	0.4862336	0.5095672	-67.96112	0.024043882	0.0016562613	3899.6327855587006	1347.9165494613023
24	397.29977	284.92545	682.2252	112.37431	788.0	240000	105.194756	115.99793	268.80896	13.088368	278.33334	0.48689365	0.550125	-68.0096	0.007674021	0.0018504069	3957.2247269153595	1308.082617748446
25	2807.6035	3151.1104	8000.2397	148.8936	3813.25	250000	2868.4756	3879.605	8354.8955	87.84984	3587.3333	0.42852435	0.4559438	-68.43926	0.019469626	0.001860124	4204.453976631165	1331.410425555706
26	5186.1807	3613.4424	8799.623	1572.7384	6158.5	260000	3047.1086	3329.5254	7755.527	651.5679	4093.0	0.34383276	0.35245624	-68.94616	-0.039377835	0.0019516326	4425.3270564079285	1344.6186051662153
27	1415.4218	724.408	2516.181	643.7052	2280.0	270000	291.00925	132.56067	467.85327	148.70645	593.3333	0.32308185	0.32664505	-68.61968	-0.010552446	0.0017563939	4573.370564222336	1335.3112816748796
