Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	LossQ1	LossQ2	LossPi	Q1val	Q2val	Time	remian_mins
1	91.167534	53.8189	269.40262	7.900906	292.82352	10000	73.66044	47.29973	110.5004	6.8875	234.66667	0.01585093	0.014174541	-1.2534126	2.5256362	2.5256462	54.23398184776306	451.0459430853526
2	71.07617	41.08195	153.96327	0.32248056	241.36586	20000	80.03355	17.57561	104.00972	62.37004	258.0	0.016839983	0.016485505	-3.1203322	6.2252045	6.225214	110.34653425216675	457.9381121993065
3	72.053795	37.643578	141.22273	8.218868	246.97562	30000	106.44022	13.636447	123.6041	90.24383	322.66666	0.016825436	0.016936515	-4.3807955	8.747843	8.747782	169.47883534431458	467.9498927341567
4	74.069756	34.889393	144.16588	10.02419	253.07692	40000	65.91567	46.544903	103.25074	0.29910278	170.66667	0.019201517	0.020080393	-4.9711185	9.918984	9.919008	226.03106546401978	467.13086665471394
5	73.674484	38.994686	141.08742	0.29880694	247.425	50000	80.22588	18.395866	102.85337	57.794163	249.0	0.02148579	0.022287825	-5.1754894	10.324715	10.324791	282.3589594364166	465.89228188991547
6	74.5177	36.579918	145.27368	0.29783708	253.625	60000	100.0448	18.06443	113.8432	74.526024	328.33334	0.0230273	0.023562832	-5.270819	10.526603	10.52664	340.5387108325958	467.29478456841576
7	84.245705	34.84707	142.3172	8.192373	265.3421	70000	65.281204	20.413408	91.94166	42.360565	202.33333	0.02263638	0.023270419	-5.234318	10.44529	10.445301	398.9689130783081	468.3135084759622
8	68.019325	38.792465	126.32334	0.2990889	227.63637	80000	115.697914	1.5447206	116.97118	113.523964	338.33334	0.023433771	0.02402552	-5.245491	10.461727	10.461712	456.7661497592926	468.1853022813797
9	68.820206	34.437675	138.59126	0.29908508	235.21428	90000	56.27596	45.04874	110.60879	0.29910278	175.0	0.024476698	0.024995208	-5.1600785	10.299101	10.299159	513.823564529419	467.1988328068345
10	72.683914	35.173416	141.39737	0.29909807	247.125	100000	73.38709	30.448454	100.30238	30.82038	262.0	0.025340479	0.026264932	-5.0916934	10.155676	10.1557045	569.3781063556671	464.99211960633596
11	65.12149	37.341003	133.34013	0.2989354	229.09091	110000	88.6611	32.03732	115.93852	43.69283	274.33334	0.024861421	0.025829067	-4.9983172	9.9776325	9.977695	628.1791243553162	465.4236232475801
12	74.31843	40.778862	141.29295	4.9105496	247.21951	120000	36.41911	35.84979	86.9799	7.8958836	128.66667	0.0258724	0.026532011	-4.950119	9.886052	9.886127	683.1604771614075	463.0309894296858
13	74.78969	40.14486	148.1343	0.29914623	247.625	130000	40.994747	42.33641	99.37483	0.29896387	143.0	0.026344625	0.027857924	-4.927522	9.836715	9.836741	742.1111857891083	463.3437782241748
14	78.5836	37.989643	136.22385	0.29887268	250.35	140000	91.44265	24.511003	124.97519	67.06977	271.0	0.026431173	0.02792299	-4.922847	9.8309	9.830906	799.6710696220398	462.6668325866971
15	80.034096	34.848877	137.0008	15.615001	264.78946	150000	76.1531	22.830305	107.5706	53.999226	282.0	0.0263997	0.028011706	-4.9418797	9.873596	9.873591	858.2114312648773	462.4806039836672
16	74.17076	37.232643	138.32635	5.7606993	249.875	160000	106.2945	14.372901	126.58765	95.14208	316.66666	0.02611211	0.027377477	-4.9585333	9.9036455	9.903653	914.1098129749298	460.86369689404967
17	71.93966	38.28643	142.2081	8.206132	239.29268	170000	54.501606	24.223036	87.44909	29.905	211.66667	0.025849035	0.027023444	-4.9761343	9.936149	9.936164	970.9449694156647	459.77099977170724
18	66.514465	35.11207	133.039	0.29894444	234.93024	180000	50.446056	30.242804	75.46988	7.8958836	190.33333	0.02661643	0.02797323	-5.007922	10.000962	10.000962	1028.4773528575897	459.00563297934
19	80.90103	39.79376	147.99919	0.298845	265.71054	190000	43.81744	38.389996	97.27685	8.886725	130.33333	0.025650308	0.026865533	-5.050975	10.086878	10.08691	1086.9852175712585	458.6314816477006
20	69.15803	35.28419	140.58725	0.29910278	240.19513	200000	83.5129	14.4064045	96.08188	63.342003	308.33334	0.025703767	0.026880603	-5.0927067	10.177497	10.177507	1143.4093165397644	457.36372623443606
21	83.356865	25.6949	123.61316	29.724583	289.22858	210000	45.1579	18.960733	70.5806	25.062172	156.0	0.025297897	0.026514169	-5.120835	10.230318	10.230357	1201.4230506420135	456.731460952948
22	73.04877	40.66064	146.79488	0.29893455	238.17073	220000	52.060497	33.318905	94.18664	12.714503	156.33333	0.025508331	0.02641955	-5.162471	10.314988	10.315025	1257.5051937103271	455.3693046497576
23	72.03984	36.73236	140.23558	8.166699	253.025	230000	84.98669	17.741629	101.04764	60.26243	283.0	0.02516255	0.026001109	-5.202698	10.398646	10.398644	1316.0525975227356	454.8964409055917
24	80.3505	39.72361	150.19684	0.29891655	259.56412	240000	113.006966	24.061102	140.0406	81.59345	390.66666	0.07250027	0.0634607	-5.718192	11.032537	11.032544	1374.0904088020325	454.2132181498739
25	80.607185	56.279182	216.25787	0.29830703	249.82051	250000	111.35159	56.271645	153.69041	31.827099	358.66666	0.2317011	0.2340601	-9.667555	18.268627	18.26898	1431.6182057857513	453.34576478799187
26	101.48299	57.781597	208.94662	9.014511	315.875	260000	94.48951	55.195427	158.09798	23.502691	279.66666	0.3129575	0.28112653	-11.469933	22.140265	22.139977	1488.9437856674194	452.4098422059646
27	95.894356	61.161243	210.77914	0.29923055	302.36365	270000	151.9654	20.129879	176.32498	127.02723	360.33334	0.2668459	0.24321933	-10.2806225	19.816452	19.816538	1547.0035943984985	451.6868517359098
28	103.84306	56.482765	252.84753	0.29880276	299.64706	280000	99.5018	60.452892	174.64915	26.622536	274.66666	0.2216978	0.20842677	-10.691358	20.814589	20.814571	1605.0631449222565	450.9463118099031
29	117.6265	51.61622	204.93298	11.9906	320.03226	290000	119.245094	42.115307	158.1661	60.74083	354.0	0.2275087	0.20402534	-10.760483	20.960442	20.960495	1661.5838527679443	449.77355982311843
30	97.97898	59.328823	208.21916	0.29801202	273.8611	300000	158.37347	30.314198	196.47264	122.30138	322.66666	0.21441193	0.19610304	-11.052517	21.575727	21.575727	1717.0979075431824	448.3533423384031
31	107.792206	63.099323	249.19783	8.7786455	299.87878	310000	117.8902	12.606101	135.61928	107.40377	377.33334	0.17916381	0.15993223	-10.747959	21.056324	21.056395	1774.5956563949585	447.46524854308814
32	97.352104	55.517456	204.3051	0.2988667	275.0811	320000	84.38724	20.983305	111.89668	60.995533	284.33334	0.15566479	0.128107	-10.296711	20.230898	20.23088	1832.0316371917725	446.5577113330364
33	127.96284	52.21035	238.90851	13.529317	375.23077	330000	81.046974	49.326008	116.984314	11.300284	251.66667	0.12493645	0.12506725	-9.821804	19.383215	19.38332	1888.9613547325134	445.5277536437969
34	206.57771	135.81438	607.76044	7.974722	496.85715	340000	189.09026	87.368225	305.1164	94.29049	478.66666	0.15256281	0.10501929	-9.921634	19.224506	19.224545	1948.6809351444244	445.1398603483742
35	223.75717	226.03175	848.8332	11.866211	480.95	350000	534.7124	283.8904	929.8631	275.63446	1045.0	0.21460812	0.13245633	-10.175616	19.37459	19.374449	2006.6326167583466	444.3257933940206
36	274.50302	206.81546	868.59906	4.8281856	649.2857	360000	728.8974	495.45447	1181.2714	39.319584	1278.6666	0.20330323	0.13434616	-10.558873	20.257727	20.25763	2061.9100828170776	442.92883234907083
37	426.8134	489.40115	1500.9321	11.54525	796.1429	370000	320.15253	124.0971	463.4361	160.74686	636.0	0.21730264	0.13995346	-10.776172	20.778677	20.778662	2126.328099012375	443.46392310395976
38	365.78546	243.18726	1019.8776	69.75087	746.61536	380000	257.17447	70.13657	335.8856	165.54915	657.3333	0.24779359	0.14880867	-11.175247	21.534231	21.534296	2183.2292006015778	442.39117992865414
39	760.9876	761.64844	2084.4016	47.942482	1323.2	390000	671.24884	523.6009	1310.7196	28.179693	1496.3334	0.23219936	0.14031175	-11.401312	22.020536	22.020649	2228.0325849056244	438.9414620520722
40	1332.7583	833.7149	2592.2249	380.47287	2618.25	400000	222.7627	160.91977	397.76974	9.274442	580.6667	0.23622958	0.15738322	-11.783391	22.889698	22.889717	2288.5343255996704	438.6357455571493
41	913.88727	650.47906	2196.121	53.310665	1695.2858	410000	613.2237	397.937	1060.6196	93.87644	1156.3334	0.2823299	0.1800986	-12.269431	23.698008	23.69801	2358.1931030750275	440.0043226239158
42	1031.5618	1244.3019	3631.7615	7.4285407	1894.5	420000	460.47696	229.8278	762.252	205.04239	981.6667	0.38298768	0.24237208	-12.473752	23.997221	23.997328	2423.6282517910004	440.4848169739284
43	497.0149	424.79205	1491.6711	22.41675	945.8	430000	500.5027	508.80603	1203.7916	17.086273	865.3333	0.39359298	0.25345096	-12.447889	24.070175	24.070242	2480.494230747223	439.3743655099425
44	389.64655	259.25198	1082.2897	48.95754	844.1	440000	453.80466	390.18762	1003.8246	140.34758	887.0	0.37964723	0.25959495	-12.416848	24.071583	24.071686	2532.719432115555	437.46971992796114
45	5444.343	3860.6653	9305.008	1583.6774	6012.0	450000	929.98755	654.9182	1648.3473	64.501144	1331.0	0.3412814	0.22506706	-12.938797	25.164679	25.164724	2602.9295814037323	438.6418366652948
46	314.77182	355.7719	1293.3483	42.88779	635.6667	460000	451.859	405.2974	998.5761	29.422464	872.0	0.3552492	0.22996488	-13.167444	25.608734	25.60885	2650.443473339081	435.97874509528066
47	3040.7048	3439.1936	7886.6045	257.16965	3823.3333	470000	1634.2207	1465.153	3564.6982	17.09816	2507.3333	0.3561971	0.23119892	-13.853944	26.94405	26.94419	2721.173211812973	437.12463280824903
48	931.5251	299.54382	1352.5134	566.69507	1589.6666	480000	1931.9731	1217.536	3568.754	650.655	3381.3333	0.36207154	0.23707534	-14.171478	27.551033	27.550955	2784.7438576221466	437.050077504913
49	1167.3854	1218.9427	3216.5903	20.044691	1785.5	490000	621.91046	249.80693	862.4932	277.5762	1407.6666	0.36988962	0.22764775	-14.605065	28.38888	28.388903	2848.088762998581	436.9006910118116
50	434.58997	285.99155	815.9263	0.29836035	778.2308	500000	415.45764	164.39546	563.1469	186.11473	799.6667	0.3993014	0.23773636	-14.636773	28.460688	28.46083	2907.8246302604675	436.1736943602562
51	1339.6895	2070.3684	4923.5483	60.55788	2606.25	510000	2713.2717	3677.6738	7914.2065	87.56004	3580.0	0.39184177	0.26198593	-14.526467	28.406322	28.406435	2976.0534896850586	436.68235827886986
52	297.50403	345.228	1083.5577	5.315924	553.5455	520000	931.883	374.38815	1441.0865	551.6488	1481.0	0.38874108	0.25592083	-14.458884	28.278172	28.278313	3017.3368825912476	433.2586291924501
53	1810.8649	1565.8975	4655.6313	74.91205	2760.0	530000	422.70053	362.61398	934.64075	140.82156	814.3333	0.3771313	0.23907061	-14.407254	28.1317	28.13171	3095.1327764987946	435.07055049122505
54	856.3626	729.21625	2230.182	0.2984365	1365.4286	540000	631.393	724.6228	1647.4401	7.811419	1054.3334	0.3682114	0.22027972	-14.617471	28.563593	28.563494	3152.1959466934204	433.9133925308416
55	2928.6543	515.7899	3444.4443	2412.8645	5215.5	550000	1465.6403	1629.3663	3754.0493	87.68379	1918.6666	0.39912388	0.21245131	-14.834393	28.819183	28.819187	3216.06889796257	433.68201792998747
56	1429.6099	0.0	1429.6099	1429.6099	2339.0	560000	315.41495	141.85992	503.02533	160.06204	716.0	0.4015395	0.2015549	-15.016843	29.057365	29.057453	3236.823314189911	427.72308061463497
57	3372.8813	3282.624	6655.5054	90.25722	5183.0	570000	980.08685	760.2357	2034.1799	269.72824	1796.3334	0.38886476	0.19423209	-15.339656	29.752499	29.752478	3300.186721801758	427.48032667546244
58	1741.1085	2386.5225	7011.0664	251.25607	2663.3333	580000	2383.8499	812.73004	3487.89	1555.0321	3102.0	0.3868301	0.20870681	-15.572777	30.341103	30.341026	3393.796499967575	431.0511644693627
59	8312.1	0.0	8312.1	8312.1	10000.0	590000	271.21365	126.96114	383.27536	93.6907	659.0	0.37309924	0.21148506	-15.759978	30.729525	30.72955	3452.807338953018	430.1378632931386
60	2724.9817	3642.57	7875.227	56.54878	3619.0	600000	3415.261	3995.9497	9032.004	67.844696	4023.6667	0.3501918	0.19209069	-16.199516	31.610355	31.610205	3522.715598344803	430.5541285408868
61	470.3848	262.17505	768.5796	67.44573	975.8333	610000	1395.9369	1259.6619	3144.1045	225.11331	2097.6667	0.3523413	0.18995227	-16.240479	31.728992	31.728844	3565.4681253433228	427.6613406030207
62	1849.6732	1903.7916	4943.987	50.569035	2559.8	620000	3236.7976	4143.8154	9094.326	153.67682	3812.6667	0.3681176	0.18882579	-16.44168	32.10146	32.101402	3645.8558967113495	429.2701296337189
63	1019.2987	1139.5542	3740.707	52.00839	1504.625	630000	5649.1196	3778.072	8367.308	306.39243	6891.0	0.39271808	0.19322324	-16.548365	32.267113	32.26707	3730.0578105449677	431.2262599701604
64	1206.8639	0.0	1206.8639	1206.8639	2073.0	640000	1667.9028	1760.3989	4107.27	17.380045	2082.0	0.39419466	0.19558041	-16.536232	32.24301	32.243073	3754.3203897476196	426.27179417138296
65	1853.3529	2921.693	8772.661	111.71461	2410.1428	650000	1240.045	1245.1815	2998.1733	274.64117	2116.0	0.37853247	0.1951362	-16.808596	32.861347	32.861298	3848.336473464966	429.23752962625946
66	2634.3008	1790.7612	5073.749	825.4598	3504.3333	660000	3267.6924	2516.9143	6794.827	1089.6644	4357.6665	0.35717085	0.1874397	-16.967735	33.29219	33.292233	3916.9445254802704	429.281293849632
